"시점","시도별",데이터
"2022.10","대전광역시",108.89
"2022.10","울산광역시",109.17
"2022.10","세종특별자치시",109.82
"2022.10","경기도",109.15
"2022.10","강원도",110.55
"2022.10","충청북도",110.25
"2022.10","충청남도",110.43
"2022.10","전라북도",109.62
"2022.10","전라남도",109.95
"2022.10","경상북도",110.34
"2022.10","경상남도",109.37
"2022.10","제주특별자치도",110.43
"2022.11","서울특별시",108.03
"2022.11","부산광역시",108.74
"2022.11","대구광역시",109.51
"2022.11","인천광역시",109.40
"2022.11","광주광역시",109.19
"2022.11","대전광역시",108.82
"2022.11","울산광역시",108.97
"2022.11","세종특별자치시",109.59
"2022.11","경기도",109.10
"2022.11","강원도",110.43
"2022.11","충청북도",109.96
"2022.11","충청남도",110.13
"2022.11","전라북도",109.50
"2022.11","전라남도",109.79
"2022.11","경상북도",110.28
"2022.11","경상남도",109.27
"2022.11","제주특별자치도",109.97
"2022.12","서울특별시",108.47
"2022.12","부산광역시",108.82
"2022.12","대구광역시",109.61
"2022.12","인천광역시",109.70
"2022.12","광주광역시",109.15
"2022.12","대전광역시",109.02
"2022.12","울산광역시",109.15
"2022.12","세종특별자치시",109.57
"2022.12","경기도",109.26
"2022.12","강원도",110.66
"2022.12","충청북도",110.04
"2022.12","충청남도",110.28
"2022.12","전라북도",109.52
"2022.12","전라남도",109.81
"2022.12","경상북도",110.24
"2022.12","경상남도",109.38
"2022.12","제주특별자치도",109.73
"2023.01","서울특별시",109.30
"2023.01","부산광역시",109.83
"2023.01","대구광역시",110.45
"2023.01","인천광역시",110.52
"2023.01","광주광역시",110.14
"2023.01","대전광역시",109.85
"2023.01","울산광역시",110.06
"2023.01","세종특별자치시",110.12
"2023.01","경기도",110.03
"2023.01","강원도",111.58
"2023.01","충청북도",110.73
"2023.01","충청남도",111.06
"2023.01","전라북도",110.42
"2023.01","전라남도",110.62
"2023.01","경상북도",110.89
"2023.01","경상남도",110.14
"2023.01","제주특별자치도",110.69
"2023.02","서울특별시",109.68
"2023.02","부산광역시",110.01
"2023.02","대구광역시",110.71
"2023.02","인천광역시",110.65
"2023.02","광주광역시",110.43
"2023.02","대전광역시",110.08
"2023.02","울산광역시",110.08
"2023.02","세종특별자치시",110.33
"2023.02","경기도",110.38
"2023.02","강원도",111.64
"2023.02","충청북도",110.94
"2023.02","충청남도",111.17
"2023.02","전라북도",110.67
"2023.02","전라남도",110.70
"2023.02","경상북도",111.11
"2023.02","경상남도",110.52
"2023.02","제주특별자치도",110.89
