"시점","행정구역별",건수 (건),사망 (명),부상 (명),재산피해(계) (천원),부동산 (천원),동산 (천원),이재가구수 (가구),이재민수 (명)
"2019","전라남도",2645,23,101,26457996,9859615,16598381,114,221
"2019","경상북도",2511,15,179,57418027,24114086,33303941,141,304
"2019","경상남도",3212,26,97,24091350,9965677,14125673,60,109
"2019","제주특별자치도",607,3,33,2998401,1088297,1910104,6,15
"2020","서울특별시",5088,37,236,17438606,7298842,10139764,147,300
"2020","부산광역시",2499,13,166,5907121,1856165,4050956,47,100
"2020","대구광역시",1233,11,63,6463059,2893854,3569205,29,55
"2020","인천광역시",1368,22,66,11742584,5160008,6582576,99,168
"2020","광주광역시",882,4,28,3315188,1546647,1768541,31,72
"2020","대전광역시",865,8,57,7590112,3143954,4446158,37,68
"2020","울산광역시",910,9,66,16584280,11652678,4931602,141,454
"2020","세종특별자치시",203,2,16,3196125,1227512,1968613,25,28
"2020","경기도",8920,114,485,321982790,113081627,208901163,263,580
"2020","강원도",1847,18,113,23683248,10125593,13557655,62,117
"2020","충청북도",1523,11,155,20516030,8295767,12220263,44,79
"2020","충청남도",2075,17,46,22357086,8057276,14299810,99,189
"2020","전라북도",2223,17,52,19761665,8367458,11394207,48,92
"2020","전라남도",2472,22,98,29170700,11084647,18086053,115,222
"2020","경상북도",2863,27,157,47210705,12839422,34371283,105,173
"2020","경상남도",3173,21,100,38650924,18158264,20492660,54,115
"2020","제주특별자치도",515,12,14,4905209,1964304,2940905,8,15
"2021","서울특별시",4951,37,280,18268346,6872172,11396174,282,597
"2021","부산광역시",2271,16,138,6173646,2060994,4112652,41,75
"2021","대구광역시",1189,5,61,10039908,4807498,5232410,18,31
"2021","인천광역시",1270,10,65,15384770,5667071,9717699,119,181
"2021","광주광역시",743,8,19,20199240,4778281,15420959,25,65
"2021","대전광역시",796,6,40,8626140,5255040,3371100,22,46
"2021","울산광역시",802,5,63,8033711,3240737,4792974,48,99
"2021","세종특별자치시",185,-,15,2085194,940781,1144413,5,9
"2021","경기도",8169,66,425,786079510,339202944,446876566,240,478
"2021","강원도",1780,19,141,35934573,13831432,22103141,73,159
"2021","충청북도",1382,11,94,38720076,18505539,20214537,81,91
"2021","충청남도",2015,17,55,38487507,15195757,23291750,76,153
"2021","전라북도",1984,10,80,19220779,10831162,8389617,55,125
"2021","전라남도",2473,21,65,21988766,9622920,12365846,156,298
"2021","경상북도",2849,21,188,38145736,15123537,23022199,129,234
"2021","경상남도",2864,21,106,24941813,10954619,13987194,65,127
"2021","제주특별자치도",544,3,19,6795271,2982411,3812860,13,21
